gcf	base_cov	meteor_cov
GCA_003598085.1	0.1658	0.2276
GCA_014873095.1	0.1479	0.2025
GCA_022305115.1	0.2343	0.2913
GCA_046479585.1	0.1048	0.1532
GCA_050699075.1	0.1238	0.2042
GCA_051904755.1	0.1904	0.2527
GCA_057539575.1	0.2173	0.276
GCA_982345475.1	0.0012	0.024
GCF_000006945.2	0.2107	0.2568
GCF_000006965.1	0.2145	0.2698
GCF_000008185.1	0.0804	0.1295
GCF_000008805.1	0.1288	0.1778
GCF_000009625.1	0.2168	0.2827
GCF_000012685.1	0.1981	0.2523
GCF_000013085.1	0.1806	0.237
GCF_000014565.1	0.2584	0.3112
GCF_000014705.1	0.1852	0.2391
GCF_000016425.1	0.1858	0.2492
GCF_000017425.1	0.1777	0.2355
GCF_000018345.1	0.2154	0.2705
GCF_000018605.1	0.1133	0.1764
GCF_000021425.1	0.1008	0.159
GCF_000021865.1	0.1786	0.2302
GCF_000023285.1	0.107	0.1633
GCF_000024385.1	0.1831	0.2488
GCF_000026645.1	0.2328	0.2803
GCF_000069185.1	0.2078	0.2671
GCF_000091305.1	0.2428	0.3073
GCF_000092025.1	0.2035	0.2566
GCF_000146655.1	0.1305	0.1735
GCF_000147055.1	0.2042	0.2528
GCF_000158815.1	0.1819	0.2601
GCF_000174395.2	0.1157	0.1733
GCF_000195675.1	0.1909	0.2438
GCF_000195955.2	0.189	0.253
GCF_000237205.1	0.0969	0.149
GCF_000237305.1	0.214	0.277
GCF_000258405.1	0.1332	0.1965
GCF_000331005.1	0.2467	0.309
GCF_000758665.1	0.1923	0.2532
GCF_000813125.1	0.1842	0.2427
GCF_000816885.1	0.1843	0.2502
GCF_000833375.1	0.1205	0.1757
GCF_001189295.1	0.197	0.2605
GCF_001272835.1	0.0282	0.0483
GCF_001427935.1	0.2004	0.2647
GCF_001544575.2	0.2554	0.3166
GCF_001682855.1	0.1763	0.2349
GCF_001721185.1	0.185	0.2428
GCF_002257695.2	0.1633	0.2223
GCF_002260525.1	0.1993	0.2613
GCF_003019295.1	0.0889	0.1526
GCF_003121295.1	0.2081	0.2735
GCF_003324715.1	0.1838	0.244
GCF_003605405.2	0.1811	0.2375
GCF_003626845.1	0.1723	0.2307
GCF_004307055.1	0.2391	0.2974
GCF_006094295.1	0.1954	0.249
GCF_008152325.1	0.1245	0.1807
GCF_008244845.1	0.2105	0.257
GCF_008639165.1	0.2205	0.2904
GCF_008931305.1	0.222	0.2868
GCF_013365535.1	0.1604	0.2212
GCF_015277775.1	0.1765	0.2368
GCF_017916255.1	0.2119	0.2771
GCF_018732145.1	0.1917	0.259
GCF_019856495.1	0.1541	0.2058
GCF_021278985.1	0.2068	0.2591
GCF_022406515.1	0.1291	0.1917
GCF_024519395.1	0.2166	0.2707
GCF_032924845.1	0.1905	0.2458
GCF_039535865.1	0.1079	0.175
GCF_045039055.1	0.1348	0.1878
GCF_045207185.1	0.221	0.2864
GCF_045286965.1	0.2237	0.2891
GCF_045348045.1	0.1526	0.201
GCF_045571375.1	0.2122	0.2682
GCF_045712965.1	0.187	0.2477
GCF_046591535.1	0.1602	0.223
GCF_047219265.1	0.2127	0.2611
GCF_047301005.1	0.1124	0.1721
GCF_047946945.1	0.1954	0.2536
GCF_049860565.1	0.1603	0.2212
GCF_050157305.1	0.1697	0.2249
GCF_050233995.1	0.0916	0.1545
GCF_051043275.1	0.2132	0.2713
GCF_051903345.1	0.232	0.2945
GCF_051904065.1	0.1512	0.2021
GCF_051904745.1	0.2074	0.2532
GCF_051905015.1	0.1475	0.1945
GCF_054027555.1	0.1413	0.2076
GCF_055387645.1	0.1408	0.1986
GCF_055390245.1	0.1015	0.1467
GCF_055589305.1	0.2311	0.295
GCF_056489225.1	0.203	0.2509
GCF_057457595.1	0.1948	0.2573
GCF_057838145.1	0.1748	0.2424
GCF_058182495.1	0.2011	0.2556
GCF_058435815.1	0.2331	0.2849
GCF_058436375.1	0.2194	0.2734
GCF_058448535.1	0.2311	0.2797
GCF_058449135.1	0.211	0.2672
GCF_900105045.1	0.1813	0.2499
GCF_900112135.1	0.1997	0.2554
GCF_902859785.1	0.2327	0.2932
GCF_963281165.1	0.1087	0.1676
GCF_976997305.1	0.219	0.2796
GCF_978047615.1	0.1214	0.1696
