gcf	base_thr	base_topK	meteor	K
GCA_003598085.1	0.1376	0.2179	0.1887	977
GCA_014873095.1	0.1275	0.191	0.1649	867
GCA_022305115.1	0.2486	0.3176	0.2957	1467
GCA_046479585.1	0.1036	0.1613	0.1322	777
GCA_050699075.1	0.098	0.1879	0.1545	762
GCA_051904755.1	0.176	0.2586	0.2254	1087
GCA_057539575.1	0.1752	0.2573	0.221	1114
GCA_982345475.1	0.0001	0.0219	0.0231	83
GCF_000006945.2	0.2234	0.2992	0.2722	1380
GCF_000006965.1	0.2079	0.286	0.2518	1241
GCF_000008185.1	0.0678	0.1323	0.1094	683
GCF_000008805.1	0.1349	0.2021	0.173	909
GCF_000009625.1	0.2049	0.2784	0.2505	1230
GCF_000012685.1	0.1672	0.2533	0.2141	1049
GCF_000013085.1	0.1703	0.2352	0.2145	1045
GCF_000014565.1	0.2414	0.3316	0.2936	1281
GCF_000014705.1	0.1925	0.2534	0.236	1123
GCF_000016425.1	0.1694	0.2516	0.2185	1009
GCF_000017425.1	0.1713	0.2374	0.2198	1058
GCF_000018345.1	0.208	0.2916	0.2589	1168
GCF_000018605.1	0.1086	0.1764	0.1684	825
GCF_000021425.1	0.0812	0.1564	0.1206	691
GCF_000021865.1	0.1781	0.2391	0.2228	1053
GCF_000023285.1	0.1015	0.1637	0.1433	751
GCF_000024385.1	0.167	0.2558	0.2227	1026
GCF_000026645.1	0.2244	0.2959	0.2641	1281
GCF_000069185.1	0.2028	0.285	0.2516	1114
GCF_000091305.1	0.2138	0.2861	0.2683	1218
GCF_000092025.1	0.195	0.2623	0.2419	1168
GCF_000146655.1	0.1358	0.2033	0.1743	909
GCF_000147055.1	0.2145	0.2758	0.2583	1241
GCF_000158815.1	0.1619	0.2506	0.2115	1009
GCF_000174395.2	0.1009	0.1723	0.1452	828
GCF_000195675.1	0.1965	0.269	0.2381	1123
GCF_000195955.2	0.1923	0.2731	0.2462	1100
GCF_000237205.1	0.0818	0.1616	0.132	729
GCF_000237305.1	0.1822	0.258	0.2316	1120
GCF_000258405.1	0.1224	0.2064	0.1732	908
GCF_000331005.1	0.216	0.3003	0.278	1218
GCF_000758665.1	0.1589	0.2341	0.2067	1106
GCF_000813125.1	0.1719	0.2574	0.2194	1091
GCF_000816885.1	0.1848	0.257	0.2329	1109
GCF_000833375.1	0.1334	0.2135	0.1843	868
GCF_001189295.1	0.1703	0.2411	0.2143	1020
GCF_001272835.1	0.026	0.0822	0.0513	426
GCF_001427935.1	0.1877	0.2546	0.2343	1183
GCF_001544575.2	0.2518	0.3221	0.2996	1380
GCF_001682855.1	0.1517	0.222	0.1941	1031
GCF_001721185.1	0.1944	0.2733	0.2435	1176
GCF_002257695.2	0.1453	0.2165	0.1956	1040
GCF_002260525.1	0.2108	0.2733	0.2556	1259
GCF_003019295.1	0.082	0.162	0.1435	770
GCF_003121295.1	0.1665	0.2506	0.2208	1081
GCF_003324715.1	0.1664	0.2406	0.2092	1045
GCF_003605405.2	0.1901	0.2562	0.234	1082
GCF_003626845.1	0.1558	0.2401	0.2133	998
GCF_004307055.1	0.2233	0.3049	0.2746	1241
GCF_006094295.1	0.1891	0.2568	0.2394	1118
GCF_008152325.1	0.1166	0.1904	0.1762	905
GCF_008244845.1	0.2237	0.2994	0.2709	1373
GCF_008639165.1	0.1948	0.2798	0.2437	1155
GCF_008931305.1	0.1917	0.2689	0.2424	1154
GCF_013365535.1	0.1462	0.2254	0.2058	964
GCF_015277775.1	0.1574	0.2284	0.2066	1029
GCF_017916255.1	0.1726	0.2501	0.2192	1056
GCF_018732145.1	0.1697	0.2564	0.2171	1041
